sku,name,warehouse,qty,unit_price
SKU-1001,bushing-30,FRA,444,65.56
SKU-1002,regulator-57,SGP,332,174.27
SKU-1003,valve-95,SGP,220,13.14
SKU-1004,rotor-35,ATL,439,88.36
SKU-1005,bearing-59,ATL,119,144.69
SKU-1006,coupler-48,FRA,186,117.47
SKU-1007,bushing-96,FRA,128,80.05
SKU-1008,actuator-35,FRA,239,43.94
SKU-1009,impeller-18,FRA,158,179.45
SKU-1010,stator-75,SGP,265,5.22
SKU-1011,coupler-30,FRA,279,47.18
SKU-1012,rotor-57,ATL,48,97.79
SKU-1013,sensor-64,SGP,191,159.64
SKU-1014,impeller-93,ATL,333,48.57
SKU-1015,valve-99,ATL,221,148.68
SKU-1016,bushing-90,ATL,243,163.01
SKU-1017,coupler-41,FRA,165,4.43
SKU-1018,solenoid-72,SGP,347,80.13
SKU-1019,coupler-99,ATL,106,103.20
SKU-1020,stator-17,SGP,363,159.12
SKU-1021,bearing-17,ATL,383,99.38
SKU-1022,impeller-75,FRA,294,85.68
SKU-1023,stator-26,SGP,104,28.44
SKU-1024,regulator-75,FRA,227,54.37
SKU-1025,regulator-42,FRA,366,56.01
SKU-1026,rotor-69,ATL,94,38.94
SKU-1027,valve-83,ATL,312,16.48
SKU-1028,sensor-47,SGP,331,162.46
SKU-1029,valve-91,ATL,230,45.54
SKU-1030,valve-62,FRA,394,174.35
SKU-1031,gasket-88,ATL,376,57.89
SKU-1032,rotor-39,ATL,61,128.87
SKU-1033,bushing-90,FRA,63,55.11
SKU-1034,manifold-27,ATL,40,76.47
SKU-1035,gasket-17,FRA,33,103.50
SKU-1036,bearing-51,FRA,296,65.24
SKU-1037,flange-44,FRA,71,93.23
SKU-1038,regulator-11,FRA,250,106.29
SKU-1039,manifold-59,ATL,49,117.48
SKU-1040,stator-85,ATL,141,49.88
SKU-1041,sensor-80,SGP,382,67.89
SKU-1042,sensor-13,ATL,220,172.89
SKU-1043,actuator-29,FRA,393,45.97
SKU-1044,impeller-28,ATL,308,121.53
SKU-1900,titanium-rotor-77,SGP,2,96.40
SKU-1901,ceramic-valve-12,ATL,3,41.75
SKU-1902,cryo-sensor-5,SGP,4,155.20
SKU-1950,turbine-assembly-1,FRA,420,390.00
SKU-1951,laser-actuator-9,FRA,380,355.50
SKU-1952,vacuum-manifold-3,FRA,460,310.25
